p_ball,p_foul,p_pitchout,p_total_strike
203,96,0,348
348,110,1,526
200,91,0,367
420,245,0,792
105,54,0,213
272,119,0,398
169,122,0,387
365,157,0,606
128,59,0,201
808,403,0,1520
436,300,1,865
314,152,0,623
297,142,0,586
139,69,0,242
102,54,0,161
715,395,0,1486
458,252,0,895
188,116,0,346
410,132,0,588
122,58,0,248
404,224,0,815
203,111,0,395
446,215,0,784
729,391,0,1376
106,43,0,145
154,82,0,302
55,25,0,97
313,152,0,562
76,31,0,148
369,164,0,719
612,285,0,1107
123,69,0,237
352,197,1,627
800,482,0,1570
448,236,0,804
276,127,0,520
347,176,0,537
1033,552,0,1998
95,42,0,160
29,14,0,56
40,17,0,71
39,7,0,47
50,17,0,78
25,15,0,62
40,8,0,53
35,12,0,60
225,78,0,398
49,27,0,84
53,34,0,108
121,65,0,226
72,33,0,138
243,166,0,581
115,49,0,194
48,27,0,97
272,126,0,563
212,79,0,388
382,253,0,764
378,198,0,671
67,33,0,94
88,36,0,163
707,394,0,1389
207,101,0,402
127,50,0,177
154,80,0,320
232,100,0,343
294,134,0,607
77,49,0,133
257,121,2,499
413,195,0,720
792,388,0,1393
62,22,0,88
142,49,0,209
76,28,0,99
200,129,0,373
260,128,0,494
388,245,1,896
46,35,0,101
280,135,0,549
642,296,0,1238
148,82,0,285
467,197,0,719
116,71,0,204
131,67,0,220
65,34,0,128
304,160,0,582
64,19,0,80
715,456,0,1603
252,152,0,555
1071,586,1,1948
301,137,0,560
322,144,0,576
72,56,0,173
1021,534,1,2118
75,43,0,147
394,189,0,691
671,468,0,1611
28,20,0,72
121,51,0,174
115,58,0,231
236,131,0,442
285,200,0,656
367,212,1,731
323,180,1,678
307,198,0,641
964,451,1,2023
397,184,0,778
421,283,0,882
182,122,0,393
387,278,0,848
477,216,0,832
901,450,0,1626
312,154,0,569
262,129,0,426
298,152,0,603
592,298,2,1169
404,179,0,653
969,464,0,2020
35,13,0,65
223,100,0,458
311,165,1,615
158,66,0,247
880,535,1,1896
263,181,0,568
391,205,0,784
