Game Date,Opp_x,Result,Starting Pitcher,Opposing Pitcher,Opp_y,Hm/Aw
2018-08-19,OAK,1,Justin Verlander,Sean Manaea,OAK,Away
2018-08-20,SEA,0,Gerrit Cole,Felix Hernandez,SEA,Away
2018-08-21,SEA,1,Brad Peacock,Nick Vincent,SEA,Away
2018-08-22,SEA,1,Charlie Morton,Marco Gonzales,SEA,Away
2018-08-24,ANA,1,Dallas Keuchel,Andrew Heaney,ANA,Away
2018-08-25,ANA,1,Justin Verlander,Jaime Barria,ANA,Away
2018-08-26,ANA,1,Framber Valdez,Felix Pena,ANA,Away
2018-08-27,OAK,1,Gerrit Cole,Brett Anderson,OAK,Home
2018-08-28,OAK,0,Charlie Morton,Edwin Jackson,OAK,Home
2018-08-29,OAK,1,Dallas Keuchel,Trevor Cahill,OAK,Home
2018-08-30,ANA,0,Justin Verlander,Andrew Heaney,ANA,Home
2018-08-31,ANA,0,Framber Valdez,Jaime Barria,ANA,Home
2018-09-01,ANA,1,Joshua James,Felix Pena,ANA,Home
2018-09-02,ANA,1,Gerrit Cole,Shohei Ohtani,ANA,Home
2018-09-03,MIN,1,Dallas Keuchel,Kyle Gibson,MIN,Home
2018-09-04,MIN,1,Justin Verlander,Trevor May,MIN,Home
2018-09-05,MIN,1,Framber Valdez,Jake Odorizzi,MIN,Home
2018-09-08,BOS,1,Charlie Morton,Eduardo Rodriguez,BOS,Away
2018-09-09,BOS,0,Dallas Keuchel,Rick Porcello,BOS,Away
2018-09-10,DET,1,Justin Verlander,Francisco Liriano,DET,Away
2018-09-11,DET,1,Framber Valdez,Jordan Zimmermann,DET,Away
2018-09-12,DET,1,Gerrit Cole,Daniel Norris,DET,Away
2018-09-14,ARI,0,Dallas Keuchel,Robbie Ray,ARI,Home
2018-09-15,ARI,1,Charlie Morton,Zack Godley,ARI,Home
2018-09-16,ARI,1,Justin Verlander,Zack Greinke,ARI,Home
2018-09-17,SEA,0,Framber Valdez,Wade LeBlanc,SEA,Home
2018-09-18,SEA,1,Joshua James,Mike Leake,SEA,Home
2018-09-19,SEA,0,Dallas Keuchel,Matt Festa,SEA,Home
2018-09-21,ANA,1,Gerrit Cole,Andrew Heaney,ANA,Home
2018-09-22,ANA,1,Justin Verlander,Jaime Barria,ANA,Home
2018-09-23,ANA,1,Charlie Morton,Tyler Skaggs,ANA,Home
2018-09-24,TOR,1,Dallas Keuchel,Marco Estrada,TOR,Away
2018-09-25,TOR,1,Joshua James,Sam Gaviglio,TOR,Away
2018-09-26,TOR,0,Chris Devenski,Sean Reid-Foley,TOR,Away
2018-09-28,BAL,1,Gerrit Cole,David Hess,BAL,Away
2018-09-29,BAL,1,Justin Verlander,Dylan Bundy,BAL,Away
2018-09-29,BAL,1,Justin Verlander,Dylan Bundy,BAL,Away
2018-09-29,BAL,1,Dallas Keuchel,Yefry Ramirez,BAL,Away
2018-09-29,BAL,1,Dallas Keuchel,Yefry Ramirez,BAL,Away
2018-09-30,BAL,0,Charlie Morton,Jimmy Yacabonis,BAL,Away
2019-03-28,TBA,1,Justin Verlander,Blake Snell,TBA,Away
2019-03-29,TBA,0,Gerrit Cole,Charlie Morton,TBA,Away
2019-03-30,TBA,0,Collin McHugh,Tyler Glasnow,TBA,Away
2019-03-31,TBA,0,Wade Miley,Yonny Chirinos,TBA,Away
2019-04-01,TEX,1,Brad Peacock,Drew Smyly,TEX,Away
2019-04-02,TEX,0,Justin Verlander,Shelby Miller,TEX,Away
2019-04-03,TEX,0,Gerrit Cole,Mike Minor,TEX,Away
2019-04-05,OAK,1,Collin McHugh,Frankie Montas,OAK,Home
2019-04-06,OAK,1,Wade Miley,Aaron Brooks,OAK,Home
2019-04-07,OAK,1,Brad Peacock,Michael Fiers,OAK,Home
2019-04-08,NYA,1,Justin Verlander,Masahiro Tanaka,NYA,Home
2019-04-09,NYA,1,Gerrit Cole,Jonathan Loaisiga,NYA,Home
2019-04-10,NYA,1,Collin McHugh,James Paxton,NYA,Home
2019-04-12,SEA,1,Wade Miley,Wade LeBlanc,SEA,Away
2019-04-13,SEA,1,Justin Verlander,Felix Hernandez,SEA,Away
2019-04-14,SEA,1,Gerrit Cole,Marco Gonzales,SEA,Away
2019-04-16,OAK,1,Collin McHugh,Marco Estrada,OAK,Away
2019-04-17,OAK,0,Wade Miley,Frankie Montas,OAK,Away
2019-04-19,TEX,1,Justin Verlander,Drew Smyly,TEX,Away
2019-04-20,TEX,0,Gerrit Cole,Adrian Sampson,TEX,Away
2019-04-21,TEX,0,Collin McHugh,Shelby Miller,TEX,Away
2019-04-22,MIN,0,Brad Peacock,Jake Odorizzi,MIN,Home
2019-04-23,MIN,1,Wade Miley,Michael Pineda,MIN,Home
2019-04-24,MIN,1,Justin Verlander,Kohl Stewart,MIN,Home
2019-04-25,CLE,0,Gerrit Cole,Trevor Bauer,CLE,Home
2019-04-26,CLE,0,Collin McHugh,Corey Kluber,CLE,Home
2019-04-27,CLE,1,Brad Peacock,Shane Bieber,CLE,Home
2019-04-28,CLE,1,Wade Miley,Carlos Carrasco,CLE,Home
2019-04-29,MIN,0,Justin Verlander,Jake Odorizzi,MIN,Away
2019-04-30,MIN,1,Gerrit Cole,Michael Pineda,MIN,Away
2019-05-01,MIN,0,Collin McHugh,Martin Perez,MIN,Away
2019-05-02,MIN,0,Brad Peacock,Jose Berrios,MIN,Away
2019-05-04,ANA,1,Wade Miley,Trevor Cahill,ANA,Away
2019-05-05,ANA,1,Justin Verlander,Matt Harvey,ANA,Away
2019-05-06,KCA,1,Gerrit Cole,Jake Junis,KCA,Home
2019-05-07,KCA,0,Collin McHugh,Danny Duffy,KCA,Home
2019-05-08,KCA,1,Brad Peacock,Jorge Lopez,KCA,Home
2019-05-09,TEX,1,Wade Miley,Mike Minor,TEX,Home
2019-05-10,TEX,1,Justin Verlander,Lance Lynn,TEX,Home
2019-05-11,TEX,1,Gerrit Cole,Jesse Chavez,TEX,Home
2019-05-12,TEX,1,Corbin Martin,Adrian Sampson,TEX,Home
2019-05-13,DET,1,Brad Peacock,Matt Boyd,DET,Away
2019-05-14,DET,1,Wade Miley,Ryan Carpenter,DET,Away
2019-05-15,DET,1,Justin Verlander,Gregory Soto,DET,Away
2019-05-17,BOS,1,Gerrit Cole,Rick Porcello,BOS,Away
2019-05-18,BOS,1,Corbin Martin,Hector Velazquez,BOS,Away
2019-05-19,BOS,0,Wade Miley,Chris Sale,BOS,Away
2019-05-20,CHA,1,Brad Peacock,Ryan Burr,CHA,Home
2019-05-21,CHA,1,Justin Verlander,Dylan Covey,CHA,Home
2019-05-22,CHA,0,Gerrit Cole,Ivan Nova,CHA,Home
2019-05-23,CHA,0,Corbin Martin,Lucas Giolito,CHA,Home
2019-05-24,BOS,1,Wade Miley,Chris Sale,BOS,Home
2019-05-25,BOS,1,Brad Peacock,David Price,BOS,Home
2019-05-26,BOS,0,Justin Verlander,Eduardo Rodriguez,BOS,Home
2019-05-27,CHN,1,Gerrit Cole,Cole Hamels,CHN,Home
2019-05-28,CHN,1,Corbin Martin,Jon Lester,CHN,Home
2019-05-29,CHN,0,Wade Miley,Kyle Hendricks,CHN,Home
2019-05-31,OAK,1,Brad Peacock,Michael Fiers,OAK,Away
2019-06-01,OAK,1,Justin Verlander,Brett Anderson,OAK,Away
2019-06-02,OAK,1,Gerrit Cole,Chris Bassitt,OAK,Away
2019-06-03,SEA,1,Corbin Martin,Cory Gearrin,SEA,Away
2019-06-04,SEA,1,Wade Miley,Andrew Moore,SEA,Away
2019-06-05,SEA,0,Brad Peacock,Mike Leake,SEA,Away
2019-06-06,SEA,1,Justin Verlander,Austin Adams,SEA,Away
2019-06-07,BAL,1,Gerrit Cole,Gabriel Ynoa,BAL,Home
2019-06-08,BAL,0,Framber Valdez,Andrew Cashner,BAL,Home
2019-06-09,BAL,1,Wade Miley,Dylan Bundy,BAL,Home
2019-06-11,MIL,1,Brad Peacock,Freddy Peralta,MIL,Home
2019-06-12,MIL,0,Justin Verlander,Brandon Woodruff,MIL,Home
2019-06-14,TOR,1,Gerrit Cole,Aaron Sanchez,TOR,Home
2019-06-15,TOR,1,Framber Valdez,Clayton Richard,TOR,Home
2019-06-16,TOR,0,Brad Peacock,Trent Thornton,TOR,Home
2019-06-17,CIN,0,Wade Miley,Luis Castillo,CIN,Away
2019-06-18,CIN,0,Justin Verlander,Anthony DeSclafani,CIN,Away
2019-06-19,CIN,0,Gerrit Cole,Tyler Mahle,CIN,Away
2019-06-20,NYA,0,Framber Valdez,Chad Green,NYA,Away
2019-06-21,NYA,0,Brad Peacock,James Paxton,NYA,Away
2019-06-22,NYA,0,Wade Miley,Masahiro Tanaka,NYA,Away
2019-06-23,NYA,1,Justin Verlander,J.A. Happ,NYA,Away
2019-06-25,PIT,1,Gerrit Cole,Trevor Williams,PIT,Home
2019-06-26,PIT,0,Framber Valdez,Dario Agrazal,PIT,Home
2019-06-27,PIT,0,Brad Peacock,Joe Musgrove,PIT,Home
2019-06-28,SEA,1,Wade Miley,Matt Carasiti,SEA,Home
2019-06-29,SEA,1,Justin Verlander,Yusei Kikuchi,SEA,Home
2019-06-30,SEA,1,Gerrit Cole,Marco Gonzales,SEA,Home
2019-07-02,COL,1,Jose Urquidy,German Marquez,COL,Away
2019-07-03,COL,1,Wade Miley,Peter Lambert,COL,Away
2019-07-05,ANA,0,Justin Verlander,Noe Ramirez,ANA,Home
2019-07-06,ANA,1,Gerrit Cole,Andrew Heaney,ANA,Home
2019-07-07,ANA,1,Jose Urquidy,Jose Suarez,ANA,Home
2019-07-11,TEX,0,Framber Valdez,Lance Lynn,TEX,Away
2019-07-12,TEX,0,Gerrit Cole,Jesse Chavez,TEX,Away
2019-07-13,TEX,1,Wade Miley,Mike Minor,TEX,Away
2019-07-14,TEX,1,Justin Verlander,Ariel Jurado,TEX,Away
2019-07-15,ANA,0,Joshua James,Griffin Canning,ANA,Away
2019-07-16,ANA,0,Hector Rondon,Andrew Heaney,ANA,Away
2019-07-17,ANA,1,Gerrit Cole,Felix Pena,ANA,Away
2019-07-18,ANA,1,Wade Miley,Matt Harvey,ANA,Away
2019-07-19,TEX,1,Justin Verlander,Mike Minor,TEX,Home
2019-07-20,TEX,1,Jose Urquidy,Ariel Jurado,TEX,Home
2019-07-21,TEX,1,Rogelio Armenteros,Lance Lynn,TEX,Home
2019-07-22,OAK,1,Gerrit Cole,Homer Bailey,OAK,Home
2019-07-23,OAK,0,Wade Miley,Michael Fiers,OAK,Home
2019-07-24,OAK,1,Justin Verlander,Chris Bassitt,OAK,Home
2019-07-26,SLN,0,Jose Urquidy,Jack Flaherty,SLN,Away
2019-07-27,SLN,1,Gerrit Cole,Daniel Ponce de Leon,SLN,Away
2019-07-28,SLN,1,Wade Miley,Dakota Hudson,SLN,Away
2019-07-30,CLE,1,Justin Verlander,Shane Bieber,CLE,Away
2019-07-31,CLE,0,Jose Urquidy,Zach Plesac,CLE,Away
2019-08-01,CLE,1,Gerrit Cole,Danny Salazar,CLE,Away
2019-08-02,SEA,1,Wade Miley,Yusei Kikuchi,SEA,Home
2019-08-03,SEA,1,Aaron Sanchez,Marco Gonzales,SEA,Home
2019-08-04,SEA,1,Justin Verlander,Sam Tuivailala,SEA,Home
2019-08-06,COL,1,Zack Greinke,German Marquez,COL,Home
2019-08-07,COL,1,Gerrit Cole,Peter Lambert,COL,Home
2019-08-09,BAL,1,Wade Miley,Dylan Bundy,BAL,Away
2019-08-10,BAL,1,Aaron Sanchez,Aaron Brooks,BAL,Away
2019-08-11,BAL,0,Justin Verlander,Asher Wojciechowski,BAL,Away
2019-08-13,CHA,1,Zack Greinke,Dylan Cease,CHA,Away
2019-08-13,CHA,1,Zack Greinke,Dylan Cease,CHA,Away
2019-08-13,CHA,0,Chris Devenski,Ivan Nova,CHA,Away
2019-08-13,CHA,0,Chris Devenski,Ivan Nova,CHA,Away
2019-08-14,CHA,0,Wade Miley,Ross Detwiler,CHA,Away
2019-08-15,OAK,0,Aaron Sanchez,Michael Fiers,OAK,Away
2019-08-16,OAK,0,Justin Verlander,Tanner Roark,OAK,Away
2019-08-17,OAK,0,Rogelio Armenteros,Chris Bassitt,OAK,Away
2019-08-18,OAK,1,Zack Greinke,Brett Anderson,OAK,Away
2019-08-19,DET,1,Wade Miley,Edwin Jackson,DET,Home
2019-08-20,DET,1,Aaron Sanchez,Spencer Turnbull,DET,Home
2019-08-21,DET,0,Justin Verlander,Daniel Norris,DET,Home
2019-08-22,DET,1,Gerrit Cole,Jordan Zimmermann,DET,Home
2019-08-23,ANA,1,Zack Greinke,Jose Suarez,ANA,Home
2019-08-24,ANA,1,Wade Miley,Dillon Peters,ANA,Home
2019-08-25,ANA,1,Framber Valdez,Jaime Barria,ANA,Home
2019-08-27,TBA,1,Justin Verlander,Charlie Morton,TBA,Home
2019-08-28,TBA,1,Gerrit Cole,Ryan Yarbrough,TBA,Home
2019-08-29,TBA,0,Zack Greinke,Andrew Kittredge,TBA,Home
2019-08-30,TOR,1,Wade Miley,Trent Thornton,TOR,Away
2019-08-31,TOR,0,Framber Valdez,Clay Buchholz,TOR,Away
2019-09-01,TOR,1,Justin Verlander,Wilmer Font,TOR,Away
2019-09-02,MIL,1,Gerrit Cole,Adrian Houser,MIL,Away
2019-09-03,MIL,0,Zack Greinke,Jordan Lyles,MIL,Away
2019-09-05,SEA,1,Wade Miley,Marco Gonzales,SEA,Home
2019-09-06,SEA,1,Framber Valdez,Reggie McClain,SEA,Home
2019-09-07,SEA,1,Justin Verlander,Yusei Kikuchi,SEA,Home
2019-09-08,SEA,1,Gerrit Cole,Felix Hernandez,SEA,Home
2019-09-09,OAK,1,Zack Greinke,Michael Fiers,OAK,Home
2019-09-10,OAK,0,Wade Miley,Tanner Roark,OAK,Home
2019-09-11,OAK,0,Jose Urquidy,Brett Anderson,OAK,Home
2019-09-12,OAK,0,Justin Verlander,Homer Bailey,OAK,Home
2019-09-13,KCA,1,Gerrit Cole,Danny Duffy,KCA,Away
2019-09-14,KCA,1,Zack Greinke,Mike Montgomery,KCA,Away
2019-09-15,KCA,1,Wade Miley,Jake Junis,KCA,Away
2019-09-17,TEX,1,Justin Verlander,Lance Lynn,TEX,Home
2019-09-18,TEX,1,Gerrit Cole,Kolby Allard,TEX,Home
2019-09-20,ANA,1,Zack Greinke,Jaime Barria,ANA,Home
2019-09-21,ANA,0,Wade Miley,Patrick Sandoval,ANA,Home
2019-09-22,ANA,1,Justin Verlander,Jose Rodriguez,ANA,Home
2019-09-24,SEA,1,Gerrit Cole,Justin Dunn,SEA,Away
2019-09-25,SEA,1,Zack Greinke,Yusei Kikuchi,SEA,Away
2019-09-26,ANA,0,Wade Miley,Jaime Barria,ANA,Away
2019-09-27,ANA,1,Jose Urquidy,Patrick Sandoval,ANA,Away
2019-09-28,ANA,1,Justin Verlander,Jose Suarez,ANA,Away
2019-09-29,ANA,1,Gerrit Cole,Dillon Peters,ANA,Away
